ANIO|MES|CODIGO_SECTOR_N1|PROVINCIA|CANTON|VENTAS_NETAS_TARIFA_12|VENTAS_NETAS_TARIFA_0|EXPORTACIONES|COMPRAS_ENTAS_TARIFA_12|COMPRAS_NETAS_TARIFA_0|IMPORTACIONES|COMPRAS_RISE|TOTAL_COMPRAS|TOTAL_VENTAS
2022|2|C|SUCUMBIOS|SHUSHUFINDI|63276,8700|5317,3600|0,0000|21044,3600|1049,5000|0,0000|0,0000|22093,8600|72559,1000
2022|3|G|LOS RIOS|BABAHOYO|8360118,1500|8843726,5000|981855,5800|9175511,2100|6009913,0700|71449,7800|47891,1500|15304765,2100|18862457,7700
2022|3|P|CHIMBORAZO|RIOBAMBA|228905,6000|1445727,7900|0,0000|460459,1900|329572,6700|0,0000|29547,4300|819579,2900|1681221,1200
2022|3|F|MORONA SANTIAGO|MORONA|974874,4600|820,4000|0,0000|381307,7300|76723,1000|0,0000|9869,9900|467900,8200|983475,8000
2022|3|I|MANABI|PEDERNALES|27614,1800|184648,9000|0,0000|81038,4700|134553,0300|98,3200|0,0000|215689,8200|214646,8200
2022|3|C|SANTA ELENA|SALINAS|84729,4100|515258,5700|0,0000|227706,0800|229560,2900|35,0000|3301,1600|460602,5300|621415,7700
2022|3|D|PICHINCHA|RUMIÑAHUI|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000
2022|3|F|PASTAZA|PASTAZA|652511,7100|42422,2900|0,0000|384062,2100|64645,4600|0,0000|9219,6400|457927,3100|872165,6700
2022|3|I|IMBABURA|IBARRA|809485,0200|434855,5500|0,0000|550768,2500|441875,8000|11485,6900|6048,7900|1010178,5300|1356291,8400
2022|3|H|GUAYAS|GUAYAQUIL|72631046,0400|69609562,7700|43539394,7400|73884464,7200|43863511,1700|8619139,9900|741982,8800|130318468,5400|188730459,5900
2022|3|I|SUCUMBIOS|LAGO AGRIO|529467,4200|103962,1700|0,0000|336021,9300|328367,8800|687,5000|49992,9200|715070,2300|967867,0100
2022|3|C|MANABI|PEDERNALES|45714,1900|46116,4600|0,0000|63767,3200|5930,9000|15423,0200|13,0000|85134,2400|91830,6500
2022|1|F|MANABI|JIPIJAPA|85640,4000|10,0100|0,0000|156719,2700|32053,6400|0,0000|6674,5000|195447,4100|85650,4100
2022|3|I|GUAYAS|EL TRIUNFO|11627,9400|1885,0000|0,0000|15198,1700|335,2200|0,0000|100,0000|15633,3900|14840,1200
2022|3|M|CHIMBORAZO|COLTA|9699,5100|12095,3100|0,0000|18133,4300|20753,1300|34,5000|8699,4400|47620,5000|22716,4300
2022|3|M|GUAYAS|PLAYAS|237106,2000|3256,8600|0,0000|88886,1600|25166,4500|0,0000|0,0000|114052,6100|278278,0200
2022|2|D|CARCHI|MIRA|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000
2022|1|G|LOS RIOS|BABA|415460,4500|486894,3000|0,0000|498476,3800|401649,5500|3825,3200|456,6000|904407,8500|902491,8000
2022|1|T|CHIMBORAZO|ALAUSI|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000
2022|1|S|MANABI|MANTA|853043,4600|570985,8300|37079,2500|716302,1500|247271,0600|9852,7100|22411,1700|995837,0900|1461258,9400
2022|1|H|EL ORO|EL GUABO|10321,2600|807952,4200|0,0000|92081,0000|582465,7600|0,0000|16730,7900|691277,5500|818273,6800
2022|1|S|SANTO DOMINGO DE LOS TSACHILAS|SANTO DOMINGO|2260880,5100|1282001,6200|23673,1900|2539090,3900|594982,6900|25461,2900|40451,5300|3199985,9000|3572121,8000
2022|1|M|LOJA|LOJA|3229740,2000|612184,7700|23254,6000|2356353,2300|489960,5800|62521,5300|34620,6700|2943456,0100|3869588,6900
2022|1|A|LOS RIOS|BABAHOYO|247887,8400|5994074,0100|0,0000|689805,8200|4527689,3400|353,5800|36434,8400|5254283,5800|6275041,1200
2022|1|H|COTOPAXI|LA MANA|97397,7700|497813,7400|0,0000|208431,9500|419911,5100|2681,5500|592,3000|631617,3100|595211,5100
2022|1|P|CHIMBORAZO|RIOBAMBA|233421,2500|1093348,8700|0,0000|287878,7600|110195,2600|0,0000|17873,6700|416059,1500|1326770,1200
2022|1|S|CHIMBORAZO|CUMANDA|6034,3800|37231,2800|0,0000|5384,5200|17253,1900|0,0000|0,0000|22637,7100|43265,6600
2022|1|R|BOLIVAR|GUARANDA|3693,9000|630,0000|0,0000|3903,8800|496,6400|0,0000|0,0000|4400,5200|4323,9000
2022|1|G|GUAYAS|BALAO|634222,4600|603732,7700|0,0000|889972,1600|540658,0800|0,0000|43681,1100|1474311,3500|1238555,2400
2022|2|J|GALAPAGOS|SANTA CRUZ|118979,6900|0,0000|0,0000|59747,9700|9243,9200|0,0000|0,0000|68991,8900|118979,6900
2022|2|F|TUNGURAHUA|TISALEO|114738,5500|0,0100|0,0000|32519,8200|1100,5800|21,0000|89,1600|33730,5600|114738,5700
2022|2|S|EL ORO|PORTOVELO|124,3300|0,0000|0,0000|8341,7400|1077,8300|0,0000|0,0000|9419,5700|124,3300
2022|2|S|ZAMORA CHINCHIPE|YANTZAZA|3571,2400|327,7500|0,0000|13640,6600|4432,9800|0,0000|3198,1000|21271,7400|3898,9900
2022|2|N|GALAPAGOS|SANTA CRUZ|3384189,1800|7642734,8000|63435,8500|4966034,0300|1537481,2900|135269,6000|17366,0600|6656150,9800|12316321,4100
2022|2|M|ESMERALDAS|QUININDE|316540,1500|165481,7400|0,0000|415531,1100|58901,8900|9925,0000|39054,0600|523412,0600|483584,5700
2022|2|G|MANABI|JIPIJAPA|1711322,7900|1108081,1500|0,0000|1658951,0600|829798,9400|1373,8800|576,6000|2490700,4800|2823190,5900
2022|2|G|LOS RIOS|MOCACHE|592031,8100|2919864,4200|0,0000|1170261,1800|2191705,2000|0,0000|46318,3200|3408284,7000|3513069,5900
2022|2|G|MANABI|MONTECRISTI|5496121,7300|3276269,7100|1198457,7800|5180825,7700|3658701,8000|150452,8600|34278,1800|9024258,6100|10312955,7300
2022|2|A|COTOPAXI|LATACUNGA|383959,8700|11129468,8500|22631963,4800|5283004,5700|15724168,1200|1682009,3300|249833,1200|22939015,1400|34145393,2200
2022|2|G|MORONA SANTIAGO|SANTIAGO|465194,6800|126488,0600|0,0000|570660,8000|102669,0800|0,0000|82,5000|673412,3800|591682,7400
2022|2|H|EL ORO|MACHALA|5301328,9000|3669320,0700|2299667,6200|7404126,0800|2713299,6400|653,8700|96020,5300|10594885,5300|11275129,4700
2022|2|N|CARCHI|MONTUFAR|5919,7000|342,5000|0,0000|5988,3900|960,9200|0,0000|0,0000|6949,3100|6262,2000
2022|2|L|MANABI|MANTA|1367572,7000|625183,9400|11500,0000|576778,2400|368471,2600|4569,0100|23717,1800|973535,6900|2011591,9200
2022|2|S|IMBABURA|IBARRA|358472,9400|276975,5800|0,0000|267744,1000|195466,9000|129,9800|34955,5300|498296,5100|636148,5200
2022|2|P|COTOPAXI|PUJILI|909,6200|9502,9800|0,0000|2068,6800|555,2800|0,0000|0,0000|2623,9600|10412,6000
2022|2|R|MORONA SANTIAGO|GUALAQUIZA|60,1000|4760,0000|0,0000|619,7000|966,6100|0,0000|0,0000|1586,3100|4820,1100
2022|2|H|ZAMORA CHINCHIPE|PALANDA|1657,2900|6598,2400|0,0000|2127,8800|223,7500|0,0000|9,0000|2360,6300|8255,5300
2022|2|S|LOS RIOS|MONTALVO|21458,2300|9799,2000|0,0000|19145,5900|8824,5400|0,0000|477,2500|28447,3800|31257,4300
